"NAME","SOV0NAME","ADM1NAME","LATITUDE","LONGITUDE","POP_MAX"
"Khatanga","Russia","Taymyr",72.041144,102.465001,3205
"Bukachacha","Russia","Chita",52.983341,116.916626,3372
"Ambarchik","Russia","Sakha (Yakutia)",69.651006,162.333595,0
"Batagay","Russia","Sakha (Yakutia)",67.655985,134.635027,4266
"Ust Nera","Russia","Sakha (Yakutia)",64.566587,143.199983,9148
"Lensk","Russia","Sakha (Yakutia)",60.725271,114.94703,25589
"Aldan","Russia","Sakha (Yakutia)",58.602998,125.38939,24426
"Mirnyy","Russia","Sakha (Yakutia)",62.540019,113.961354,40308
"Zhigansk","Russia","Sakha (Yakutia)",66.769709,123.371115,3237
"Okhotsk","Russia","Khabarovsk",59.383002,143.217036,5570
"Okha","Russia","Sakhalin",53.573899,142.947853,26560
"Yuzhno Sakhalinsk","Russia","Sakhalin",46.964974,142.740011,176484
"Narsarsuaq","Denmark","Kommune Kujalleq",61.166588,-45.416618,145
"Sisimiut","Denmark","Qeqqata Kommunia",66.950008,-53.666606,5227
"Qaanaaq","Denmark","Qaasuitsup Kommunia",77.483473,-69.332239,616
"Rovaniemi","Finland","Lapland",66.500035,25.715939,34781
"Vaasa","Finland","Western Finland",63.099984,21.600015,57014
"Fort Smith","Canada","Alberta",60.000019,-111.883336,518
"Fort McMurray","Canada","Alberta",56.733319,-111.383315,21863
"Peace River","Canada","Alberta",56.233323,-117.283291,5340
"Fort St. John","Canada","British Columbia",56.249989,-120.833281,18776
"Kugluktuk","Canada","Nunavut",67.798663,-115.12535,1302
"Taloyoak","Canada","Nunavut",69.533313,-93.53332,774
"Igloolik","Canada","Nunavut",69.256535,-81.793592,1612
"Kuujjuarapik","Canada","Québec",55.281495,-77.765832,1243
"Labrador City","Canada","Newfoundland and Labrador",52.941431,-66.915875,10313
"Kodiak","United States","Alaska",57.789998,-152.406987,9461
"Cold Bay","United States","Alaska",55.200001,-162.715092,200
"Valdez","United States","Alaska",61.135996,-146.348287,4036
"Juneau","United States","Alaska",58.314127,-134.419997,30711
"Trondheim","Kingdom of Norway","Sør-Trøndelag",63.416658,10.416666,147139
